id_hotel	nome	id_punto	ora_teide_mezza_giornata
759	Meliá Hacienda del Conde ( buenavista)	0	
760	DIRECT HARBOUR	10062	
761	APARTAMENTO PARQUE CAROLINA ( COSTA DEL SILENCIO )	54	
762	TUI BLUE LOS GIGANTES	10025	08:30
763	Labranda bahía Fañabé	20	09:00
764	HOVIMA ATLANTIS	23	09:05
765	ROYAL SUN HOTEL	10029	08:24
766	HACIENDA II	14	08:50
767	FAÑABE COSTA SUR	20	09:00
768	MYND Adeje	1	08:15
769	ATLANTIC HOLIDAYS	1	08:15
770	PALM-MAR	10103	09:00
782	COSTA DEL SILENCIO	10088	09:00
783	BAHIA FANABE SUIES	20	09:00
784	FERGUS P	0	
785	FERGUS PUERTO DE LA CRUZ	10109	
786	SOL COSTA ATLANTIS	10094	
787	PRIVADO	0	
788	Parque Vacacional Edén	10111	
789	H10 Tenerife Playa	10094	
790	LA QUINTA PARK CORAL	10053	
791	SHOLEO LOS GIGANTES	10142	
792	Hotel Silken Saaj Maar Puerto de la Cruz	10094	
793	AluaSoul Orotava Valley	10091	
794	Globales Acuario	10061	
795	ATLANTIC MIRAGE SUITES & SPA	10080	
797	APARTAMENTOS CASABLANCA	10046	
799	DON MANOLITO	10150	
800	Be Live Experience Orotava	10094	
801	Sol Puerto de la Cruz Tenerife	10150	
802	Apartamentos Teneguia	10150	
